address_id,address,district, city,postal_code,phone
1,47 MySakila Drive,Alberta,Lethbridge,,
2,28 MySQL Boulevard,QLD,Woodridge,,
3,23 Workhaven Lane,Alberta,Lethbridge,,14033335568
4,1411 Lillydale Drive,QLD,Woodridge,,6172235589
5,1913 Hanoi Way,Nagasaki,Sasebo,35200,28303384290
6,1121 Loja Avenue,California,San Bernardino,17886,838635286649
7,692 Joliet Street,Attika,Athenai,83579,448477190408
8,1566 Inegl Manor,Mandalay,Myingyan,53561,705814003527
9,53 Idfu Parkway,Nantou,Nantou,42399,10655648674
10,1795 Santiago de Compostela Way,Texas,Laredo,18743,860452626434
11,900 Santiago de Compostela Parkway,Central Serbia,Kragujevac,93896,716571220373
12,478 Joliet Way,Hamilton,Hamilton,77948,657282285970
13,613 Korolev Drive,Masqat,Masqat,45844,380657522649
14,1531 Sal Drive,Esfahan,Esfahan,53628,648856936185
15,1542 Tarlac Parkway,Kanagawa,Sagamihara,1027,635297277345
16,808 Bhopal Manor,Haryana,Yamuna Nagar,10672,465887807014
17,270 Amroha Parkway,Osmaniye,Osmaniye,29610,695479687538
18,770 Bydgoszcz Avenue,California,Citrus Heights,16266,517338314235
19,419 Iligan Lane,Madhya Pradesh,Bhopal,72878,990911107354
20,360 Toulouse Parkway,England,Southend-on-Sea,54308,949312333307
21,270 Toulon Boulevard,Kalmykia,Elista,81766,407752414682
22,320 Brest Avenue,Kaduna,Kaduna,43331,747791594069
23,1417 Lancaster Avenue,Northern Cape,Kimberley,72192,272572357893
24,1688 Okara Way,Nothwest Border Prov,Mardan,21954,144453869132
25,262 A Corua (La Corua) Parkway,Dhaka,Tangail,34418,892775750063
26,28 Charlotte Amalie Street,Rabat-Sal-Zammour-Z,Sal,37551,161968374323
27,1780 Hino Boulevard,Liepaja,Liepaja,7716,902731229323
28,96 Tafuna Way,Crdoba,Crdoba,99865,934730187245
29,934 San Felipe de Puerto Plata Street,Sind,Shikarpur,99780,196495945706
30,18 Duisburg Boulevard,,Citt del Vaticano,58327,998009777982
31,217 Botshabelo Place,Southern Mindanao,Davao,49521,665356572025
32,1425 Shikarpur Manor,Bihar,Munger (Monghyr),65599,678220867005
33,786 Aurora Avenue,Yamaguchi,Shimonoseki,65750,18461860151
34,1668 Anpolis Street,Taipei,Lungtan,50199,525255540978
35,33 Gorontalo Way,West Bengali,Kamarhati,30348,745994947458
36,176 Mandaluyong Place,Uttar Pradesh,Jhansi,65213,627705991774
37,127 Purnea (Purnia) Manor,Piemonte,Alessandria,79388,911872220378
38,61 Tama Street,Okayama,Kurashiki,94065,708403338270
39,391 Callao Drive,Midi-Pyrnes,Toulouse,34021,440512153169
40,334 Munger (Monghyr) Lane,Markazi,Arak,38145,481183273622
41,1440 Fukuyama Loop,Henan,Nanyang,47929,912257250465
42,269 Cam Ranh Parkway,Chisinau,Chisinau,34689,489783829737
43,306 Antofagasta Place,Esprito Santo,Vila Velha,3989,378318851631
44,671 Graz Street,Oriental,Nador,94399,680768868518
45,42 Brindisi Place,Yerevan,Yerevan,16744,42384721397
46,1632 Bislig Avenue,Nonthaburi,Pak Kret,61117,471675840679
47,1447 Imus Way,Tahiti,Faaa,48942,539758313890
48,1998 Halifax Drive,Lipetsk,Lipetsk,76022,177727722820
49,1718 Valencia Street,Antofagasta,Antofagasta,37359,675292816413
50,46 Pjatigorsk Lane,Moscow (City),Moscow,23616,262076994845
51,686 Garland Manor,Cear,Juazeiro do Norte,52535,69493378813
52,909 Garland Manor,Tatarstan,Niznekamsk,69367,705800322606
53,725 Isesaki Place,Mekka,Jedda,74428,876295323994
54,115 Hidalgo Parkway,Khartum,Omdurman,80168,307703950263
55,1135 Izumisano Parkway,California,Fontana,48150,171822533480
56,939 Probolinggo Loop,Galicia,A Corua (La Corua),4166,680428310138
57,17 Kabul Boulevard,Chiba,Nagareyama,38594,697760867968
58,1964 Allappuzha (Alleppey) Street,Yamaguchi,Iwakuni,48980,920811325222
59,1697 Kowloon and New Kowloon Loop,Moskova,Balaiha,57807,499352017190
60,1668 Saint Louis Place,Tahiti,Papeete,39072,347487831378
61,943 Tokat Street,Vaduz,Vaduz,45428,889318963672
62,1114 Liepaja Street,Sarawak,Kuching,69226,212869228936
63,1213 Ranchi Parkway,Karnataka,Mysore,94352,800024380485
64,81 Hodeida Way,Rajasthan,Jaipur,55561,250767749542
65,915 Ponce Place,Basel-Stadt,Basel,83980,1395251317
66,1717 Guadalajara Lane,Missouri,Saint Louis,85505,914090181665
67,1214 Hanoi Way,Nebraska,Lincoln,67055,491001136577
68,1966 Amroha Avenue,Sichuan,Daxian,70385,333489324603
69,698 Otsu Street,Cayenne,Cayenne,71110,409983924481
70,1150 Kimchon Manor,Skne ln,Malm,96109,663449333709
71,1586 Guaruj Place,Hunan,Xiangtan,5135,947233365992
72,57 Arlington Manor,Madhya Pradesh,Shivapuri,48960,990214419142
73,1031 Daugavpils Parkway,Bchar,Bchar,59025,107137400143
74,1124 Buenaventura Drive,Mekka,al-Hawiya,6856,407733804223
75,492 Cam Ranh Street,Eastern Visayas,Baybay,50805,565018274456
76,89 Allappuzha (Alleppey) Manor,National Capital Reg,Taguig,75444,255800440636
77,1947 Poos de Caldas Boulevard,Chiayi,Chiayi,60951,427454485876
78,1206 Dos Quebradas Place,So Paulo,Rio Claro,20207,241832790687
79,1551 Rampur Lane,Changhwa,Changhwa,72394,251164340471
80,602 Paarl Street,Pavlodar,Pavlodar,98889,896314772871
81,1692 Ede Loop,So Paulo,Araatuba,9223,918711376618
82,936 Salzburg Lane,Uttar Pradesh,Rae Bareli,96709,875756771675
83,586 Tete Way,Kanagawa,Kamakura,1079,18581624103
84,1888 Kabul Drive,Oyo & Osun,Ife,20936,701457319790
85,320 Baiyin Parkway,Mahajanga,Mahajanga,37307,223664661973
86,927 Baha Blanca Parkway,Krim,Simferopol,9495,821972242086
87,929 Tallahassee Loop,Gauteng,Springs,74671,800716535041
88,125 Citt del Vaticano Boulevard,Puebla,Atlixco,67912,48417642933
89,1557 Ktahya Boulevard,England,Bradford,88002,720998247660
90,870 Ashqelon Loop,Songkhla,Songkhla,84931,135117278909
91,1740 Portoviejo Avenue,Sucre,Sincelejo,29932,198123170793
92,1942 Ciparay Parkway,Cheju,Cheju,82624,978987363654
93,1926 El Alto Avenue,Buenos Aires,La Plata,75543,846225459260
94,1952 Chatsworth Drive,Guangdong,Meixian,25958,991562402283
95,1370 Le Mans Avenue,Brunei and Muara,Bandar Seri Begawan,52163,345679835036
96,984 Effon-Alaiye Avenue,Gois,Goinia,17119,132986892228
97,832 Nakhon Sawan Manor,Inner Mongolia,Zalantun,49021,275595571388
98,152 Kitwe Parkway,Caraga,Bislig,53182,835433605312
99,1697 Tanauan Lane,Punjab,Pathankot,22870,4764773857
100,1308 Arecibo Way,Georgia,Augusta-Richmond County,30695,6171054059
101,1599 Plock Drive,Tete,Tete,71986,817248913162
102,669 Firozabad Loop,Abu Dhabi,al-Ayn,92265,412903167998
103,588 Vila Velha Manor,Kyongsangbuk,Kimchon,51540,333339908719
104,1913 Kamakura Place,Lipetsk,Jelets,97287,942570536750
105,733 Mandaluyong Place,Asir,Abha,77459,196568435814
106,659 Vaduz Drive,Ha Darom,Ashdod,49708,709935135487
107,1177 Jelets Way,Kwara & Kogi,Ilorin,3305,484292626944
108,1386 Yangor Avenue,Provence-Alpes-Cte,Toulon,80720,449216226468
109,454 Nakhon Sawan Boulevard,Funafuti,Funafuti,76383,963887147572
110,1867 San Juan Bautista Tuxtepec Avenue,Ivanovo,Ivanovo,78311,547003310357
111,1532 Dzerzinsk Way,Buenos Aires,Merlo,9599,330838016880
112,1002 Ahmadnagar Manor,Mxico,Huixquilucan,93026,371490777743
113,682 Junan Way,North West,Klerksdorp,30418,622255216127
114,804 Elista Drive,Hubei,Enshi,61069,379804592943
115,1378 Alvorada Avenue,Distrito Federal,Caracas,75834,272234298332
116,793 Cam Ranh Avenue,California,Lancaster,87057,824370924746
117,1079 Tel Aviv-Jaffa Boulevard,Sucre,Cuman,10885,358178933857
118,442 Rae Bareli Place,Nordrhein-Westfalen,Duisburg,24321,886636413768
119,1107 Nakhon Sawan Avenue,Mxico,Nezahualcyotl,75149,867546627903
120,544 Malm Parkway,Central Java,Pemalang,63502,386759646229
121,1967 Sincelejo Place,Gujarat,Gandhinagar,73644,577812616052
122,333 Goinia Way,Texas,Grand Prairie,78625,909029256431
123,1987 Coacalco de Berriozbal Loop,al-Qalyubiya,Shubra al-Khayma,96065,787654415858
124,241 Mosul Lane,Risaralda,Dos Quebradas,76157,765345144779
125,211 Chiayi Drive,Uttar Pradesh,Etawah,58186,665993880048
126,1175 Tanauan Way,Lima,Lima,64615,937222955822
127,117 Boa Vista Way,Uttar Pradesh,Varanasi (Benares),6804,677976133614
128,848 Tafuna Manor,Ktahya,Ktahya,45142,614935229095
129,569 Baicheng Lane,Gauteng,Boksburg,60304,490211944645
130,1666 Qomsheh Drive,So Paulo,Po,66255,582835362905
131,801 Hagonoy Drive,Smolensk,Smolensk,8439,237426099212
